Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
Mobile Legends: Bang Bang,15400000,1543608082.0,Gaming,1647,US,45.0,55369000.0,13800.0,221500.0,166100.0,2700000.0,2016.0,7,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Roman Atwood Vlogs,15400000,5469103954.0,People & Blogs,1756,US,42.0,1583000.0,396.0,6300.0,4700.0,76000.0,2013.0,8,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Mrwhosetheboss,15400000,3736069980.0,Science & Technology,1577,GB,12.0,167697000.0,41900.0,670800.0,503100.0,8000000.0,2011.0,4,20.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Genierock,15400000,14564170905.0,Music,1725,TH,124.0,82798000.0,20700.0,331200.0,248400.0,4000000.0,2008.0,3,9.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
zayn,15400000,4909687948.0,Music,21,US,124.0,36790000.0,9200.0,147200.0,110400.0,1800000.0,2016.0,1,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kerajinan 5-Menit,15400000,4750420071.0,People & Blogs,4186,ID,23.0,19740000.0,4900.0,79000.0,59200.0,947500.0,2018.0,11,21.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
FC Barcelona,15300000,2656528205.0,Sports,10988,ES,9.0,84867000.0,21200.0,339500.0,254600.0,4100000.0,2006.0,2,6.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606.0,Education,851,US,33.0,77053000.0,19300.0,308200.0,231200.0,3700000.0,2014.0,12,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
LOKESH GAMER,15300000,1640078055.0,Gaming,1397,IN,46.0,5920000.0,1500.0,23700.0,17800.0,284200.0,2017.0,11,16.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ILYA BORZOV,15300000,9938811455.0,People & Blogs,2175,RU,42.0,475565000.0,118900.0,1900000.0,1400000.0,22800000.0,2021.0,4,1.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
Mazhavil Manorama,15300000,16545966132.0,Entertainment,87864,IN,142.0,361483000.0,90400.0,1400000.0,1100000.0,17400000.0,2011.0,10,31.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15200000,857725714.0,People & Blogs,194,IN,35.0,65380000.0,16300.0,261500.0,196100.0,3100000.0,2017.0,10,15.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
The MriDul,15200000,4503880875.0,Comedy,106,IN,28.0,98329000.0,24600.0,393300.0,295000.0,4700000.0,2015.0,3,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Niana Guerrero,15200000,1491452935.0,Entertainment,443,PH,144.0,9980000.0,2500.0,39900.0,29900.0,479000.0,2013.0,4,11.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
SRK MUSIC,15200000,6391679636.0,Music,5056,IN,126.0,57809000.0,14500.0,231200.0,173400.0,2800000.0,2012.0,3,16.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Sony LIV,15200000,7151683497.0,Entertainment,11099,IN,144.0,210909000.0,52700.0,843600.0,632700.0,10100000.0,2014.0,5,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
T-Series Hamaar Bhojpuri,15200000,7564652648.0,Entertainment,9862,IN,125.0,105978000.0,26500.0,423900.0,317900.0,5100000.0,2011.0,11,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Oyuncak Avï¿,15200000,8333387785.0,Entertainment,654,TR,144.0,4427000.0,1100.0,17700.0,13300.0,212500.0,2014.0,12,29.0,23.9,83429615.0,13.49,63097818.0,38.963745,35.243322
CNN,15200000,14198154095.0,News & Politics,160405,US,16.0,187006000.0,46800.0,748000.0,561000.0,9000000.0,2005.0,10,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
NDTV India,15200000,6624168155.0,News & Politics,91704,IN,16.0,49662000.0,12400.0,198600.0,149000.0,2400000.0,2008.0,1,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
It's Mamix,15100000,1777072487.0,People & Blogs,210,US,44.0,15984000.0,4000.0,63900.0,48000.0,767200.0,2017.0,2,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Daftar Populer,15100000,2143140898.0,Education,3810,ID,144.0,17231000.0,4300.0,68900.0,51700.0,827100.0,2017.0,1,16.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Ranz Kyle,15100000,1760131384.0,People & Blogs,533,PH,145.0,12376000.0,3100.0,49500.0,37100.0,594000.0,2008.0,4,27.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
PowerfulJRE,15100000,3060202847.0,People & Blogs,1037,US,43.0,43409000.0,10900.0,173600.0,130200.0,2100000.0,2013.0,1,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Mariale,15100000,2761547758.0,Howto & Style,2618,US,145.0,11956000.0,3000.0,47800.0,35900.0,573900.0,2010.0,1,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Makiman131,15100000,4236036141.0,Gaming,2997,ES,145.0,5972000.0,1500.0,23900.0,17900.0,286600.0,2013.0,2,12.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15100000,5324913850.0,People & Blogs,753,EG,145.0,46060000.0,11500.0,184200.0,138200.0,2200000.0,2014.0,10,31.0,35.2,100388073.0,10.76,42895824.0,26.820553,30.802498
EdisonPts,15100000,6668507856.0,Gaming,3733,RU,47.0,95603000.0,23900.0,382400.0,286800.0,4600000.0,2013.0,6,24.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
BIGBANG,15100000,7857371770.0,Music,776,KR,127.0,40806000.0,10200.0,163200.0,122400.0,2000000.0,2005.0,10,10.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15100000,9477021288.0,Comedy,921,AR,28.0,512343000.0,128100.0,2000000.0,1500000.0,24600000.0,2016.0,8,2.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
ABS-CBN News,15100000,10489367372.0,News & Politics,209520,PH,17.0,181644000.0,45400.0,726600.0,544900.0,8700000.0,2009.0,10,22.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
Chapitosiki,15100000,13897932103.0,Entertainment,2717,RU,143.0,713509000.0,178400.0,2900000.0,2100000.0,34200000.0,2020.0,1,24.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
AdeleVEVO,15100000,12413869881.0,Music,52,GB,127.0,84750000.0,21200.0,339000.0,254300.0,4100000.0,2009.0,10,15.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
MoreAliA,15000000,4352427049.0,Gaming,2324,GB,47.0,250995000.0,62700.0,1000000.0,753000.0,12000000.0,2013.0,5,6.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Chetan Monga Vlogs,15000000,9924103188.0,People & Blogs,899,IN,45.0,113572000.0,28400.0,454300.0,340700.0,5500000.0,2014.0,8,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15000000,8897705695.0,Entertainment,795,BR,34.0,145478000.0,36400.0,581900.0,436400.0,7000000.0,2018.0,1,26.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
League of Legends,15000000,7159750970.0,Gaming,1362,US,48.0,43133000.0,10800.0,172500.0,129400.0,2100000.0,2009.0,2,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
XpressTV,15000000,4008801873.0,Entertainment,724,MX,146.0,33880000.0,8500.0,135500.0,101600.0,1600000.0,2014.0,11,17.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
PlayStation,15000000,4741434420.0,Gaming,20292,US,48.0,41789000.0,10400.0,167200.0,125400.0,2000000.0,2005.0,12,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kwebbelkop,15000000,6889304306.0,Gaming,5198,US,37.0,29724000.0,7400.0,118900.0,89200.0,1400000.0,2008.0,4,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Republic Bharat,15000000,7536093065.0,News & Politics,206,IN,1992.0,998.0,0.25,4.0,3.0,48.0,2018.0,8,16.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
THE BROWN SIBLINGS,15000000,8658553456.0,Entertainment,965,IN,145.0,102357000.0,25600.0,409400.0,307100.0,4900000.0,2016.0,10,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Sony Music South,15000000,9978734160.0,Music,2726,IN,127.0,242185000.0,60500.0,968700.0,726600.0,11600000.0,2014.0,8,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Ray William Johnson,15000000,10239836582.0,Entertainment,1803,US,29.0,312858000.0,78200.0,1300000.0,938600.0,15000000.0,2008.0,5,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
KOMPASTV,15000000,11827310821.0,News & Politics,269050,ID,17.0,113064000.0,28300.0,452300.0,339200.0,5400000.0,2013.0,8,23.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
ISSEI / ï¿½ï¿½ï¿½ï¿½,15000000,13562853889.0,Comedy,1788,JP,29.0,282372000.0,70600.0,1100000.0,847100.0,13600000.0,2014.0,7,23.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15000000,11506702632.0,Music,340,BR,128.0,182871000.0,45700.0,731500.0,548600.0,8800000.0,2012.0,4,3.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
A2 Motivation by Arvind Arora,15000000,8932038210.0,Entertainment,3168,IN,146.0,130731000.0,32700.0,522900.0,392200.0,6300000.0,2017.0,4,7.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
50 Cent,14900000,10069000444.0,Music,419,US,129.0,119812000.0,30000.0,479200.0,359400.0,5800000.0,2007.0,2,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
MNCTV OFFICIAL,14900000,8074260978.0,Entertainment,66362,ID,146.0,43581000.0,10900.0,174300.0,130700.0,2100000.0,2012.0,11,29.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
ERB,14900000,4033400167.0,Entertainment,86,US,147.0,11043000.0,2800.0,44200.0,33100.0,530100.0,2006.0,2,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
melanie martinez,14900000,4395184343.0,Music,127,US,129.0,56358000.0,14100.0,225400.0,169100.0,2700000.0,2007.0,11,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
iTownGamePlay *Terror&Diversiï¿½ï,14900000,4977284539.0,Entertainment,8420,ES,49.0,13857000.0,3500.0,55400.0,41600.0,665200.0,2012.0,2,15.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
ýýýýýýýýýýýý8 : Thai Ch8,14900000,5549770244.0,Entertainment,27944,TH,147.0,49556000.0,12400.0,198200.0,148700.0,2400000.0,2011.0,10,17.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
ýýýýýý,14900000,439098.0,People & Blogs,1,RU,19.0,7697.0,2.0,31.0,23.0,369.0,2008.0,8,11.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
TazerCraft,14900000,5956193599.0,Gaming,4175,BR,49.0,39775000.0,9900.0,159100.0,119300.0,1900000.0,2011.0,7,13.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Bayashi TV,14900000,8615618825.0,Entertainment,93,JP,3271.0,2477.0,0.62,10.0,7.0,119.0,2012.0,11,19.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
Fueled By Ramen,14800000,13356517783.0,Music,1210,US,148.0,61205000.0,15300.0,244800.0,183600.0,2900000.0,2006.0,6,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
CrashCourse,14800000,1833519700.0,Education,1481,US,35.0,7177000.0,1800.0,28700.0,21500.0,344500.0,2006.0,5,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
MattyBRaps,14800000,3587576784.0,Music,195,US,130.0,22980000.0,5700.0,91900.0,68900.0,1100000.0,2010.0,5,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Lachlan,14800000,5269059435.0,Gaming,3834,AU,50.0,21072000.0,5300.0,84300.0,63200.0,1000000.0,2013.0,3,19.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
ýýýýýýýý ýýýýýýýý,14800000,7018015062.0,Howto & Style,2387,UA,25.0,47117000.0,11800.0,188500.0,141400.0,2300000.0,2015.0,10,12.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
Meghan Trainor,14800000,8649303688.0,People & Blogs,233,US,130.0,51645000.0,12900.0,206600.0,154900.0,2500000.0,2008.0,6,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Jorge & Mateus Oficial,14800000,9076642765.0,Music,318,BR,130.0,88120000.0,22000.0,352500.0,264400.0,4200000.0,2008.0,7,29.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Beast Philanthropy,14800000,272678287.0,People & Blogs,34,DE,4443.0,37883.0,9.0,152.0,114.0,1800.0,2015.0,1,31.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
5-Minute Crafts Recycle,14800000,8866012877.0,People & Blogs,3867,US,25.0,53181000.0,13300.0,212700.0,159500.0,2600000.0,2019.0,6,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýýýý ýýýýýýýýýýýý,14700000,2230986039.0,Entertainment,1385,SA,149.0,2694000.0,673.0,10800.0,8100.0,129300.0,2016.0,5,27.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
Maha Fun Tv,14700000,1321380490.0,Entertainment,85,US,149.0,4781000.0,1200.0,19100.0,14300.0,229500.0,2017.0,9,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Canal Nostalgia,14700000,1506796393.0,Entertainment,554,ES,2275.0,226420.0,57.0,906.0,679.0,10900.0,2010.0,2,19.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
The Slow Mo Guys,14700000,2465473772.0,Entertainment,317,US,36.0,18978000.0,4700.0,75900.0,56900.0,911000.0,2010.0,8,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
StudyIQ IAS,14700000,4029253667.0,Education,43564,IN,36.0,74483000.0,18600.0,297900.0,223400.0,3600000.0,2015.0,6,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Chad Wild Clay,14700000,6751985988.0,Comedy,698,US,149.0,36338000.0,9100.0,145400.0,109000.0,1700000.0,2006.0,3,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
CollegeHumor,14700000,7255848125.0,Comedy,4340,US,30.0,55583000.0,0.0,0.0,0.0,0.0,2006.0,10,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Netflix Jr.,14700000,8882319696.0,Education,1996,US,36.0,79402000.0,19900.0,317600.0,238200.0,3800000.0,2012.0,1,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Colors Rishtey,14700000,12362331529.0,Entertainment,23490,IN,148.0,347603000.0,86900.0,1400000.0,1000000.0,16700000.0,2013.0,11,28.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ABC News,14700000,12961669452.0,News & Politics,80830,US,18.0,185709000.0,46400.0,742800.0,557100.0,8900000.0,2006.0,8,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Camila Loures,14700000,4684983333.0,Music,3978,BR,149.0,40975000.0,10200.0,163900.0,122900.0,2000000.0,2014.0,5,27.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Doc Tops,14600000,2613197447.0,Entertainment,490,EC,150.0,16409000.0,4100.0,65600.0,49200.0,787600.0,2014.0,12,29.0,44.9,17373662.0,3.97,11116711.0,-1.831239,-78.183406
Auron,14600000,3337074920.0,People & Blogs,961,ES,51.0,60568000.0,15100.0,242300.0,181700.0,2900000.0,2013.0,12,12.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Jesser,14600000,3603556207.0,Gaming,1244,US,150.0,92594000.0,23100.0,370400.0,277800.0,4400000.0,2012.0,7,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Planeta das Gï¿½ï¿½,14600000,4622581344.0,People & Blogs,951,BR,150.0,10547000.0,2600.0,42200.0,31600.0,506300.0,2015.0,11,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
PrestonPlayz,14600000,5766647017.0,Gaming,4009,US,72.0,151697000.0,37900.0,606800.0,455100.0,7300000.0,2012.0,7,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Martin Garrix,14600000,6017932195.0,Music,365,US,131.0,35528000.0,8900.0,142100.0,106600.0,1700000.0,2011.0,1,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
O Reino Infantil,14600000,11182302317.0,Music,1206,BR,131.0,109865000.0,27500.0,439500.0,329600.0,5300000.0,2014.0,8,19.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Fifth Harmony,14600000,7952268926.0,Music,67,US,131.0,37632000.0,9400.0,150500.0,112900.0,1800000.0,2013.0,2,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Mis Pastelitos,14600000,2750902766.0,Howto & Style,603,MX,131.0,50677000.0,12700.0,202700.0,152000.0,2400000.0,2014.0,6,24.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Noman Official,14600000,5525773746.0,Comedy,560,IN,38.0,139116000.0,34800.0,556500.0,417300.0,6700000.0,2019.0,10,28.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Like Nastya Stories,14500000,6944967581.0,Entertainment,479,US,151.0,29941000.0,7500.0,119800.0,89800.0,1400000.0,2019.0,9,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
les boys tv2,14500000,4577292740.0,Entertainment,453,US,39.0,449576.0,112.0,1800.0,1300.0,21600.0,2017.0,2,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
IDEIAS INCRï¿½ï¿½,14500000,3551889957.0,Howto & Style,5430,BR,26.0,2838000.0,709.0,11400.0,8500.0,136200.0,2017.0,10,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Reaction Time,14500000,4260187928.0,Entertainment,1717,US,151.0,9910000.0,2500.0,39600.0,29700.0,475700.0,2015.0,4,25.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BBC News,14500000,4598387043.0,News & Politics,18972,GB,19.0,66273000.0,16600.0,265100.0,198800.0,3200000.0,2006.0,4,8.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,5014888374.0,People & Blogs,618,KR,47.0,4960000.0,1200.0,19800.0,14900.0,238100.0,2016.0,5,18.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Aadishakti Films,14500000,6290721701.0,Music,4790,IN,132.0,48447000.0,12100.0,193800.0,145300.0,2300000.0,2016.0,10,28.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Telemundo,14500000,8582696157.0,Entertainment,19201,US,151.0,48285000.0,12100.0,193100.0,144900.0,2300000.0,2007.0,1,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
GMM25Thailand,14500000,9383692066.0,Entertainment,68606,TH,151.0,45622000.0,11400.0,182500.0,136900.0,2200000.0,2011.0,6,8.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
TV9 Bharatvarsh,14500000,10303519926.0,People & Blogs,293516,IN,18.0,418474000.0,104600.0,1700000.0,1300000.0,20100000.0,2018.0,11,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Maroon5VEVO,14500000,20042571499.0,Music,147,US,132.0,98185000.0,24500.0,392700.0,294600.0,4700000.0,2009.0,5,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,4315486422.0,Music,176,MA,132.0,37577000.0,9400.0,150300.0,112700.0,1800000.0,2012.0,12,22.0,35.9,36910560.0,9.02,22975026.0,31.791702,-7.09262
Lilly Singh,14500000,3517662420.0,Comedy,1064,CA,31.0,5329000.0,1300.0,21300.0,16000.0,255800.0,2010.0,10,29.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
ýýýýýýýýýýýýýýýýýýýýý,14400000,600154268.0,Entertainment,364,KR,151.0,1370000.0,342.0,5500.0,4100.0,65700.0,2017.0,3,8.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Gyan Gamingï¿½,14400000,2224121890.0,Gaming,3086,IN,52.0,13891000.0,3500.0,55600.0,41700.0,666800.0,2017.0,9,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Drawblogs,14400000,1629801448.0,Entertainment,399,PE,152.0,1002000.0,251.0,4000.0,3000.0,48100.0,2014.0,5,20.0,70.7,32510453.0,3.31,25390339.0,-9.189967,-75.015152
ýýýýýýýýýýýý ýýýýýýýýýýýý I ýýýýýý ýý ýýýýýýýýýý,14400000,2972474215.0,Entertainment,381,SA,152.0,4673000.0,1200.0,18700.0,14000.0,224300.0,2017.0,12,1.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
Cyprien,14400000,3086254545.0,Comedy,222,FR,32.0,11417000.0,2900.0,45700.0,34300.0,548000.0,2007.0,2,25.0,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
Rclbeauty101,14400000,3900312631.0,Comedy,463,US,152.0,8636000.0,2200.0,34500.0,25900.0,414500.0,2010.0,12,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Coke Studio,14400000,4035738731.0,Music,450,US,836.0,3557000.0,889.0,14200.0,10700.0,170700.0,2008.0,6,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Indore Physical Academy,14400000,4156427797.0,People & Blogs,1838,IN,47.0,70409000.0,17600.0,281600.0,211200.0,3400000.0,2014.0,4,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Rosanna Pansino,14400000,4597228794.0,Howto & Style,1248,US,27.0,26683000.0,6700.0,106700.0,80000.0,1300000.0,2010.0,4,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
RS 1313 SHORTS,14400000,8011977288.0,Entertainment,5628,IN,152.0,212639000.0,53200.0,850600.0,637900.0,10200000.0,2020.0,10,24.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
SelenaGomezVEVO,14400000,11423792969.0,Music,186,US,133.0,88657000.0,22200.0,354600.0,266000.0,4300000.0,2009.0,11,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ZEE5,14400000,18515587421.0,Entertainment,101401,IN,152.0,149799000.0,37400.0,599200.0,449400.0,7200000.0,2018.0,2,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Super Polina,14300000,4776507159.0,People & Blogs,576,US,153.0,413774.0,103.0,1700.0,1200.0,19900.0,2014.0,7,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Wish 107.5,14200000,6048517979.0,Music,1823,PH,134.0,62658000.0,15700.0,250600.0,188000.0,3000000.0,2014.0,7,13.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
Invento na Hora,14200000,4040297006.0,Film & Animation,1281,BR,154.0,19029000.0,4800.0,76100.0,57100.0,913400.0,2014.0,10,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
SIS vs BRO,14200000,6973932553.0,Entertainment,60,UA,4686.0,105.0,0.03,0.42,0.32,5.0,2016.0,8,3.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
NikkieTutorials,14200000,1778318927.0,Howto & Style,876,NL,154.0,35934000.0,9000.0,143700.0,107800.0,1700000.0,2008.0,6,23.0,85.0,17332850.0,3.2,15924729.0,52.132633,5.291266
TommyInnit,14200000,2084791147.0,Gaming,342,GB,55.0,54291000.0,13600.0,217200.0,162900.0,2600000.0,2015.0,12,24.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
E-MasterSensei,14200000,3920559552.0,Gaming,1300,MX,54.0,44575000.0,11100.0,178300.0,133700.0,2100000.0,2016.0,1,13.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
infobells - Kannada,14200000,6554000320.0,Education,433,IN,37.0,141688000.0,35400.0,566800.0,425100.0,6800000.0,2014.0,3,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
SEVENGERS,14200000,10238593147.0,Comedy,872,IN,33.0,367898000.0,92000.0,1500000.0,1100000.0,17700000.0,2018.0,6,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Zee Bangla,14200000,11428794827.0,Entertainment,132398,IN,153.0,59927000.0,15000.0,239700.0,179800.0,2900000.0,2008.0,2,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
DangMattSmith,14200000,3317805543.0,Entertainment,1724,US,154.0,12902000.0,3200.0,51600.0,38700.0,619300.0,2011.0,8,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Neha Kakkar,14100000,2131548711.0,Music,149,IN,134.0,25605000.0,6400.0,102400.0,76800.0,1200000.0,2012.0,10,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Trap City,14100000,5129529846.0,Music,3,AU,7629.0,147.0,0.04,0.59,0.44,7.0,2015.0,11,4.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
Supercar Blondie,14100000,5405563355.0,Autos & Vehicles,855,AE,1.0,353259000.0,88300.0,1400000.0,1100000.0,17000000.0,2007.0,9,12.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
Yudist Ardhana,14100000,6036496916.0,Entertainment,2854,ID,154.0,176062000.0,44000.0,704200.0,528200.0,8500000.0,2016.0,1,6.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Lana Del Rey,14100000,6884215292.0,Music,43,US,135.0,135563000.0,33900.0,542300.0,406700.0,6500000.0,2011.0,5,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
MalumaVEVO,14100000,19013942981.0,Music,182,US,135.0,98834000.0,24700.0,395300.0,296500.0,4700000.0,2011.0,6,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927.0,Sports,777,GB,10.0,10222000.0,2600.0,40900.0,30700.0,490600.0,2011.0,4,9.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
